"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L00W4SFC,"MADISON POLICE DEPARTMENT","01/02/2017","14","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","N","EAGAN RD","0","","43.126393","-89.3103","C","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0VZV8VQ,"MADISON POLICE DEPARTMENT","01/09/2017","15","DANE","13","MADISON","C","1373","S CARROLL ST","","W WILSON ST","0","","43.071747","-89.382433","C","0","1","1","5","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L0X84FB7,"MADISON POLICE DEPARTMENT","01/15/2017","2","DANE","13","MADISON","C","1373","N RANDALL AVE","","REGENT ST","0","","43.067747","-89.408972","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L06H1TJQ,"MADISON POLICE DEPARTMENT","01/19/2017","17","DANE","13","MADISON","C","1373","N MIDVALE BLVD","","BURBANK PL",".05","E","43.075162","-89.451232","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","Y",""
01L06B3P3F,"MADISON POLICE DEPARTMENT","01/19/2017","8","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","WALNUT ST","0","","43.07229","-89.425577","C","0","3","1","1","9","","","","","","","","","","Y","","","","","Y","","","",""
01L05Z0C3N,"MADISON POLICE DEPARTMENT","01/20/2017","15","DANE","13","MADISON","C","1373","REGENT ST","","S PARK ST","0","","43.067546","-89.400975","C","0","1","1","0","1","","","","","","","","","","Y","","","","","Y","","","Y",""
01L04FB005,"MADISON POLICE DEPARTMENT","01/24/2017","19","DANE","13","MADISON","C","1373","CTH AB","","BLOSSOM LN","0","","43.07324","-89.308536","K","1","0","1","0","5","","","","","","","","","","Y","","","","","Y","","","Y",""
01L0C0TWRH,"MADISON POLICE DEPARTMENT","01/25/2017","14","DANE","13","MADISON","C","1373","N FRANCES ST","","W JOHNSON ST","0","","43.071919","-89.395863","B","0","1","1","5","5","","Y","","","","","","","","Y","","","","","Y","","","",""
01L07GNQ6S,"MADISON POLICE DEPARTMENT","01/26/2017","19","DANE","13","MADISON","C","1373","051","N","CONNECTOR USH 51","0","","43.121122","-89.324826","O","0","0","1","0","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L06V55JT,"MADISON POLICE DEPARTMENT","02/01/2017","18","DANE","13","MADISON","C","1373","MOORLAND RD","","BADGER LN","0","","43.0355","-89.374366","C","0","1","1","3","1","","","","","","","","","","Y","","Y","","","Y","","","",""
59L05JN002,"UW POLICE - MADISON","02/02/2017","17","DANE","13","MADISON","C","1373","N CHARTER ST","","OBSERVATORY DR","0","","43.076101","-89.405869","B","0","1","1","5","5","","","","","","","","","","Y","","","","","Y","","","",""
01L06QG26R,"MADISON POLICE DEPARTMENT","02/03/2017","16","DANE","13","MADISON","C","1373","CROSSOVER USH 18","","RAYMOND RD","0","","43.030941","-89.461018","C","0","1","1","5","32","","","","","","","","","","Y","","Y","","","Y","","Y","",""
01L0X5NC3V,"MADISON POLICE DEPARTMENT","02/17/2017","20","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","N","CROSSOVER USH 151","0","","43.096061","-89.35405","B","0","1","1","5","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L06DKRBL,"MADISON POLICE DEPARTMENT","02/17/2017","16","DANE","13","MADISON","C","1373","N THORNTON AVE","","SHERMAN AVE","0","","43.094245","-89.37014","O","0","0","1","5","5","","","","","","","","Y","","Y","","","","","Y","","Y","",""
01L0607D6P,"MADISON POLICE DEPARTMENT","02/17/2017","10","DANE","13","MADISON","C","1373","W JOHNSON ST","","N BROOKS ST","0","","43.072112","-89.40229","O","0","0","1","5","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L06ZV8W0,"MADISON POLICE DEPARTMENT","02/20/2017","18","DANE","13","MADISON","C","1373","W MAIN ST","","S BROOM ST","0","","43.070506","-89.387754","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L05Z0C3T,"MADISON POLICE DEPARTMENT","03/04/2017","16","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N PARK ST","0","","43.073265","-89.400686","B","0","1","1","1","9","","","","","","","","","","Y","","","","","Y","","","",""
