city,state,country,2020,2021,2022,2023,2024,2025,2026
Rose Hills,CA,US,,,,,,,100
Crested Butte,CO,US,88,89,87,87,87,87,100
Balltown,IA,US,,,,67,67,65,100
Mackinac Island,MI,US,,,,99,99,100,100
Fort Yates,ND,US,,,,,88,88,100
Old Orchard,PA,US,,,,41,46,47,100
Bolton,VT,US,,,,,,,98
Washburn,WI,US,,,,89,89,89,98
Bradbury,CA,US,,,,,,,97
Kent Narrows,MD,US,,,,,,,97
Murdock,NE,US,,,,84,84,89,97
West Wildwood,NJ,US,,,,,,6,97
Earlysville,VA,US,,,,42,55,55,97
Blue Diamond,NV,US,,,,85,85,84,96
Glenbrook,NV,US,,,,,65,65,96
Chautauqua,NY,US,,,53,67,68,68,96
Mount Hope,OH,US,,,,30,30,30,96
Isla Vista,CA,US,,,61,61,64,63,95
Silverado,CA,US,,,,,,,95
Victory,VT,US,,,,,,,95
Rolling Hills,CA,US,,,,,,,93
Glendale,CO,US,,,47,47,47,36,93
Bouton,IA,US,,,,,,,93
Berkley,MI,US,,,,,58,58,93
Calumet,MI,US,,,,,59,67,93
Sunset,UT,US,,,,40,40,40,93
Springdale,UT,US,,,,90,89,89,92
Hillsboro,VA,US,,,,,45,47,92
Perrysville,OH,US,,,,,,85,90
Chunchula,AL,US,,,,50,50,50,89
Sula,MT,US,,,,,41,41,89
Luke,MD,US,,,,,,,88
Glen Arbor,MI,US,,,,,47,48,88
Woodland,MS,US,,,,,81,81,88
South San Jose Hills,CA,US,,,,,,,87
Alto Pass,IL,US,,,,,54,54,87
Flintstone,MD,US,,,,,,,87
Little Orleans,MD,US,,,,,,,87
Spring Lake,MI,US,,,,,,,87
Gilchrist,OR,US,,,,,,,86
Ashland,WI,US,46,46,79,80,81,81,86
Shorewood,WI,US,,,62,76,76,77,86
Soldotna,AK,US,63,62,61,64,66,67,85
Point Arena,CA,US,,,63,69,69,69,85
Polson,MT,US,,,,,,,85
Sewanee,TN,US,,,,,83,81,85
Eagle Lake,WI,US,,,,,40,40,85
Braswell,GA,US,,,50,50,39,39,84
Glendale,SC,US,,,,,,,84
Whitefish Bay,WI,US,,,,,64,66,84
Crescent City,CA,US,,,,,,,83
Trail,MN,US,,,,,54,54,83
