"Location","Year","Series","Series Code","Month","Permits"
"Madison, WI",2001,"Total Units",1.0,1.0,301.0
"Madison, WI",2001,"Total Units",1.0,2.0,434.0
"Madison, WI",2001,"Total Units",1.0,3.0,288.0
"Madison, WI",2001,"Total Units",1.0,4.0,391.0
"Madison, WI",2001,"Total Units",1.0,5.0,455.0
"Madison, WI",2001,"Total Units",1.0,6.0,273.0
"Madison, WI",2001,"Total Units",1.0,7.0,512.0
"Madison, WI",2001,"Total Units",1.0,8.0,449.0
"Madison, WI",2001,"Total Units",1.0,9.0,403.0
"Madison, WI",2001,"Total Units",1.0,10.0,476.0
"Madison, WI",2001,"Total Units",1.0,11.0,573.0
"Madison, WI",2001,"Total Units",1.0,12.0,281.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,1.0,176.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,2.0,165.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,3.0,231.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,4.0,230.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,5.0,254.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,6.0,205.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,7.0,212.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,8.0,219.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,9.0,189.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,10.0,182.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,11.0,184.0
"Madison, WI",2001,"Units in Single-Family Structures",2.0,12.0,163.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,1.0,125.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,2.0,269.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,3.0,57.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,4.0,161.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,5.0,201.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,6.0,68.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,7.0,300.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,8.0,230.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,9.0,214.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,10.0,294.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,11.0,389.0
"Madison, WI",2001,"Units in All Multi-Family Structures",3.0,12.0,118.0
"Madison, WI",2001,"Units in 2-unit Multi-Family Structures",4.0,1.0,14.0
"Madison, WI",2001,"Units in 2-unit Multi-Family Structures",4.0,2.0,16.0
"Madison, WI",2001,"Units in 2-unit Multi-Family Structures",4.0,3.0,30.0
"Madison, WI",2001,"Units in 2-unit Multi-Family Structures",4.0,4.0,22.0
"Madison, WI",2001,"Units in 2-unit Multi-Family Structures",4.0,5.0,26.0
