LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
10143-2421,Active,Laurel Tavern,2023/06/30 05:00:00+00,Active,"2505 MONROE ST
MADISON, WI 53711",2505,,MONROE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,1
10150-15021,Active,Ridgewood Pool,2023/06/30 05:00:00+00,Active,"5109 BARTON RD
MADISON, WI 53711",5109,,BARTON,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,2
10150-17657,Active,Ridgewood Pool,2023/06/30 05:00:00+00,Active,"5109 BARTON RD
MADISON, WI 53711",5109,,BARTON,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,3
10150-65275,Active,Ridgewood Pool,2023/06/30 05:00:00+00,Active,"5109 BARTON RD
MADISON, WI 53711",5109,,BARTON,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,4
10156-2429,Active,Wingra Canoe & Sailing Center,2023/06/30 05:00:00+00,Active,"824 KNICKERBOCKER ST
MADISON, WI 53711",824,,KNICKERBOCKER,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,5
10330-2461,Active,Pedro's,2023/06/30 05:00:00+00,Active,"3555 E WASHINGTON AVE
MADISON, WI 53704",3555,E,WASHINGTON,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,6
10432-2521,Active,Park Towers Apartment,2023/06/30 05:00:00+00,Active,"4801 SHEBOYGAN AVE
MADISON, WI 53705",4801,,SHEBOYGAN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,7
1046-695,Active,Esquire Club,2023/06/30 05:00:00+00,Active,"1025 N SHERMAN AVE
MADISON, WI 53704",1025,N,SHERMAN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,8
105-197,Active,Meriter Hospital,2023/06/30 05:00:00+00,Active,"202 S PARK ST
MADISON, WI 53715",202,S,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,9
1116-737,Active,Kollege Klub,2023/06/30 05:00:00+00,Active,"529 N LAKE ST
MADISON, WI 53703",529,N,LAKE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,10
12099-2736,Active,Wexford Crossing,2023/06/30 05:00:00+00,Active,"7418 OLD SAUK RD
MADISON, WI 53717",7418,,OLD SAUK,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,11
12122-15456,Active,West Side Swim Club,2023/06/30 05:00:00+00,Active,"5533 ODANA RD
MADISON, WI 53711",5533,,ODANA,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,12
12122-19118,Active,West Side Swim Club,2023/06/30 05:00:00+00,Active,"5533 ODANA RD
MADISON, WI 53711",5533,,ODANA,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,13
12122-2737,Active,West Side Swim Club,2023/06/30 05:00:00+00,Active,"5533 ODANA RD
MADISON, WI 53711",5533,,ODANA,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,14
1255-783,Active,The Madison Club,2023/06/30 05:00:00+00,Active,"5 E WILSON ST
MADISON, WI 53703",5,E,WILSON,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,15
1266-789,Active,Meriter Hospital,2023/06/30 05:00:00+00,Active,"202 S PARK ST
MADISON, WI 53715",202,S,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,16
1268-793,Active,Madison Labor Temple,2023/06/30 05:00:00+00,Active,"1602 S PARK ST
MADISON, WI 53715",1602,S,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,17
12775-2814,Active,Licari's Bar & Grill,2023/06/30 05:00:00+00,Active,"1405 EMIL ST
MADISON, WI 53713",1405,,EMIL,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,18
13945-3131,Active,Gino's Italian Deli,2023/06/30 05:00:00+00,Active,"4606 VERONA RD
MADISON, WI 53711",4606,,VERONA,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,19
14242-3161,Active,Oakwood Village Apartments,2023/06/30 05:00:00+00,Active,"6209 MINERAL POINT RD
MADISON, WI 53705",6209,,MINERAL POINT,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,20
1463-961,Active,Delaney's Charcoal Steaks,2023/06/30 05:00:00+00,Active,"449 GRAND CANYON DR
MADISON, WI 53719",449,,GRAND CANYON,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,21
1473-966,Active,Nakoma Golf Club,2023/06/30 05:00:00+00,Active,"4145 COUNTRY CLUB RD
MADISON, WI 53711",4145,,COUNTRY CLUB,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,22
14779-3296,Active,Essen Haus,2023/06/30 05:00:00+00,Active,"514 E WILSON ST
MADISON, WI 53703",514,E,WILSON,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,23
1496-974,Active,Paradise Lounge,2023/06/30 05:00:00+00,Active,"119 W MAIN ST
MADISON, WI 53703",119,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,24
1497-981,Active,Nick's Restaurant,2023/06/30 05:00:00+00,Active,"226 STATE ST
MADISON, WI 53703",226,,STATE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,25
1580-1041,Active,Inn On The Park,2023/06/30 05:00:00+00,Active,"22 S CARROLL ST
MADISON, WI 53703",22,S,CARROLL,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,26
1580-1048,Active,Inn On The Park,2023/06/30 05:00:00+00,Active,"22 S CARROLL ST
MADISON, WI 53703",22,S,CARROLL,ST,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,MADISON,27
1660-1106,Active,Porta Bella,2023/06/30 05:00:00+00,Active,"425 N FRANCES ST
MADISON, WI 53703",425,N,FRANCES,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,28
17619-3935,Active,Parthenon Gyros Restaurant,2023/06/30 05:00:00+00,Active,"316 STATE ST
MADISON, WI 53703",316,,STATE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,29
17729-3953,Active,Greenbriar Apartments,2023/06/30 05:00:00+00,Active,"222 RANDOLPH DR
MADISON, WI 53717",222,,RANDOLPH,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,30
17729-42520,Active,Greenbriar Apartments,2023/06/30 05:00:00+00,Active,"222 RANDOLPH DR
MADISON, WI 53717",222,,RANDOLPH,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,31
1811-1189,Active,Echo Tap & Grill,2023/06/30 05:00:00+00,Active,"554 W MAIN ST
MADISON, WI 53703",554,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,32
18338-2329,Active,Cherokee Town House Condominium,2023/06/30 05:00:00+00,Active,"40 GOLF COURSE RD
MADISON, WI 53704",40,,GOLF COURSE,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,33
18644-4219,Active,Village Green East,2023/06/30 05:00:00+00,Active,"820 VILLAGE GREEN LANE EAST
MADISON, WI 53704",820,,VILLAGE GREEN LANE EAST,,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,34
18648-13186,Active,Parkcrest Swim & Tennis Club,2023/06/30 05:00:00+00,Active,"1 N YELLOWSTONE DR
MADISON, WI 53705",1,N,YELLOWSTONE,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,35
18648-17386,Active,Parkcrest Swim & Tennis Club,2023/06/30 05:00:00+00,Active,"1 N YELLOWSTONE DR
MADISON, WI 53705",1,N,YELLOWSTONE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,36
