"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L0655JNG,"MADISON POLICE DEPARTMENT","01/28/2017","21","DANE","13","MADISON","C","1373","ERIN ST","","CROSSOVER USH 151","0","","43.059886","-89.400846","C","0","1","1","2","4","","","Y","","","","","","","Y","","","","Y","","","","",""
01L02RXHKB,"MADISON POLICE DEPARTMENT","02/21/2017","7","DANE","13","MADISON","C","1373","TREE LN","","MINERAL POINT RD","0","","43.060647","-89.519792","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0X84FBK,"MADISON POLICE DEPARTMENT","02/26/2017","14","DANE","13","MADISON","C","1373","WILLIAMSON ST","","CROSSOVER USH 151",".01","E","43.076157","-89.375416","A","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L06ZV8W2,"MADISON POLICE DEPARTMENT","02/28/2017","21","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N PARK ST","0","","0","0","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L067MLW4,"MADISON POLICE DEPARTMENT","03/18/2017","22","DANE","13","MADISON","C","1373","151 N SHORE DR","N","JOHN NOLEN DR","0","","43.066971","-89.385906","O","0","0","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","Y",""
01L07FFP3W,"MADISON POLICE DEPARTMENT","03/20/2017","8","DANE","13","MADISON","C","1373","012 RAMP USH 12 TO SCHROEDER RD","E","SCHROEDER RD","0","","43.0465","-89.475001","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0W3KD7S,"MADISON POLICE DEPARTMENT","03/21/2017","7","DANE","13","MADISON","C","1373","ABERG AVE","","SHOPKO DR","0","","43.110623","-89.346794","B","0","1","1","1","9","","","Y","","","","","","","Y","","","","","","","","",""
01L0TS2D6W,"MADISON POLICE DEPARTMENT","03/28/2017","20","DANE","13","MADISON","C","1373","W WASHINGTON AVE","","N BROOM ST","0","","43.071302","-89.388827","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0W78HK6,"MADISON POLICE DEPARTMENT","04/08/2017","20","DANE","13","MADISON","C","1373","S GAMMON RD","","SCHROEDER RD","0","","43.046219","-89.503227","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L02PGFBH,"MADISON POLICE DEPARTMENT","04/10/2017","14","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N RANDALL AVE","0","","43.073284","-89.409005","C","0","1","1","2","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0X84FBZ,"MADISON POLICE DEPARTMENT","04/10/2017","13","DANE","13","MADISON","C","1373","W JOHNSON ST","","N PARK ST","0","","43.072127","-89.400607","B","0","1","1","2","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0W78HK7,"MADISON POLICE DEPARTMENT","04/11/2017","8","DANE","13","MADISON","C","1373","FLAMBEAU RD","","MS","0","","43.077976","-89.470077","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L05Z0C41,"MADISON POLICE DEPARTMENT","04/14/2017","23","DANE","13","MADISON","C","1373","S BROOM ST","","W WASHINGTON AVE","0","","43.071311","-89.388945","C","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L07K4SGB,"MADISON POLICE DEPARTMENT","04/20/2017","17","DANE","13","MADISON","C","1373","RAMP USH 12 TO S GAMMON RD","W","CONNECTOR USH 12 TO S GAMMON R","0","","43.053892","-89.502602","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L00W4SGH,"MADISON POLICE DEPARTMENT","04/25/2017","15","DANE","13","MADISON","C","1373","VONDRON RD","","DOLORES DR","0","","43.070216","-89.291449","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0XBLHKM,"MADISON POLICE DEPARTMENT","04/26/2017","14","DANE","13","MADISON","C","1373","151 N SHORE DR","N","JOHN NOLEN DR","0","","43.066971","-89.385905","C","0","1","1","1","9","","","Y","","","","","","","Y","","","","","","","","",""
01L0WHWRB3,"MADISON POLICE DEPARTMENT","04/29/2017","21","DANE","13","MADISON","C","1373","W JOHNSON ST","","N LAKE ST","0","","43.072023","-89.397461","B","0","1","1","5","36","","","Y","","","","","","","Y","","","","","","","","",""
01L06H1TKH,"MADISON POLICE DEPARTMENT","05/01/2017","12","DANE","13","MADISON","C","1373","N RANDALL AVE","","UNIVERSITY AVE","0","","43.073257","-89.409004","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
59L05Z0C3D,"UW POLICE - MADISON","05/04/2017","20","DANE","13","MADISON","C","1373","LINDEN DR","","BABCOCK DR","0","","43.075168","-89.41273","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0C0TWS9,"MADISON POLICE DEPARTMENT","05/05/2017","17","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N LAKE ST","0","","43.073142","-89.397437","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L03W8HKX,"MADISON POLICE DEPARTMENT","05/10/2017","18","DANE","13","MADISON","C","1373","S MIDVALE BLVD","","ODANA RD","0","","43.050125","-89.451118","B","0","1","1","7","1","","","Y","","","","","","","Y","","Y","","","","","","Y",""
01L067MLWT,"MADISON POLICE DEPARTMENT","05/26/2017","16","DANE","13","MADISON","C","1373","HAWTHORNE CT","","UNIVERSITY AVE","0","","43.073322","-89.396612","C","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0CJWD6R,"MADISON POLICE DEPARTMENT","05/30/2017","17","DANE","13","MADISON","C","1373","N WINGRA DR","","HAYWOOD DR","0","","43.056827","-89.403692","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0WTS26Q,"MADISON POLICE DEPARTMENT","05/30/2017","18","DANE","13","MADISON","C","1373","WINNEBAGO ST","","RIVERSIDE DR","0","","43.088443","-89.357984","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L05QT5LB,"MADISON POLICE DEPARTMENT","06/01/2017","18","DANE","13","MADISON","C","1373","ABERG AVE","","LOFTSGORDON","0","","0","0","B","0","1","1","5","25","","","Y","","","","","","","Y","","Y","","","","","","",""
01L0X5NC4L,"MADISON POLICE DEPARTMENT","06/14/2017","14","DANE","13","MADISON","C","1373","N BLOUNT ST","","E GORHAM ST","0","","43.082535","-89.380518","C","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L03W8HLM,"MADISON POLICE DEPARTMENT","06/30/2017","11","DANE","13","MADISON","C","1373","ODANA RD","","TOKAY BLVD","0","","43.051408","-89.481405","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0713B1J,"MADISON POLICE DEPARTMENT","07/03/2017","14","DANE","13","MADISON","C","1373","FREMONT AVE","","FARRAGUT ST","0","","43.117722","-89.364916","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0C5S27J,"MADISON POLICE DEPARTMENT","07/11/2017","13","DANE","13","MADISON","C","1373","151 S PARK ST","S","W WINGRA DR","0","","43.049217","-89.394125","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0D7W13C,"MADISON POLICE DEPARTMENT","07/13/2017","15","DANE","13","MADISON","C","1373","N HAMILTON ST","","E JOHNSON ST","0","","43.079042","-89.383896","B","0","1","1","6","1","","","Y","","","","","","","Y","","Y","","","","","","",""
01L0WSK14L,"MADISON POLICE DEPARTMENT","07/20/2017","16","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","N","CROSSOVER USH 151","0","","43.098338","-89.351035","B","0","1","1","6","4","","","Y","","","","","","","Y","","Y","","","","","","Y",""
01L0245WSZ,"MADISON POLICE DEPARTMENT","07/22/2017","12","DANE","13","MADISON","C","1373","FRITZ AVENUE","","UNIVERSITY AVENUE","0","","0","0","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0778HK9,"MADISON POLICE DEPARTMENT","07/28/2017","12","DANE","13","MADISON","C","1373","OLD SAUK RD","","JUNCTION RD","0","","43.074824","-89.526984","B","0","1","1","6","1","","","Y","","","","","Y","","Y","","Y","","","","","","",""
01L07K4SH7,"MADISON POLICE DEPARTMENT","08/01/2017","18","DANE","13","MADISON","C","1373","RAYMOND RD","","CAMERON DR","0","","43.031917","-89.48314","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0WHWRBB,"MADISON POLICE DEPARTMENT","08/03/2017","13","DANE","13","MADISON","C","1373","N RANDALL AVE","","ENGINEERING DR",".02","N","43.072473","-89.408995","B","0","1","1","5","9","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0CMCGGP,"MADISON POLICE DEPARTMENT","08/04/2017","15","DANE","13","MADISON","C","1373","MANCHESTER RD","","PD",".01","S","43.015587","-89.490782","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0W3KD95,"MADISON POLICE DEPARTMENT","08/08/2017","8","DANE","13","MADISON","C","1373","N BEDFORD ST","","W WASHINGTON AVE","0","","43.068907","-89.392546","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
01L1C3B00F,"MADISON POLICE DEPARTMENT","08/11/2017","16","DANE","13","MADISON","C","1373","N LAKE ST","","W DAYTON ST","0","","43.070901","-89.397499","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L02PGFBZ,"MADISON POLICE DEPARTMENT","08/17/2017","2","DANE","13","MADISON","C","1373","PARR ST","","CROSSOVER USH 151",".02","E","43.05702","-89.398363","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
5QL08F2KRF,"SHOREWOOD HILLS POLICE DEPARTM","09/07/2017","13","DANE","13","MADISON","C","1373","LOCUST DR","","HIGHBURY RD","0","","43.076901","-89.448772","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L04K13DC,"MADISON POLICE DEPARTMENT","09/11/2017","15","DANE","13","MADISON","C","1373","NELSON RD","","CONNECTOR USH 151 TO NELSON RD","0","","43.144538","-89.28263","C","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0WHWRBF,"MADISON POLICE DEPARTMENT","09/12/2017","14","DANE","13","MADISON","C","1373","DIVISION ST","","EASTWOOD DR","0","","43.092487","-89.351043","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L021PTJX,"MADISON POLICE DEPARTMENT","09/13/2017","8","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N RANDALL AVE","0","","43.073374","-89.409008","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
