edge_uid,activity_type,hour,total_trip_count,forward_trip_count,reverse_trip_count,forward_people_count,reverse_people_count,forward_commute_trip_count,reverse_commute_trip_count,forward_leisure_trip_count,reverse_leisure_trip_count,forward_male_people_count,reverse_male_people_count,forward_female_people_count,reverse_female_people_count,forward_unspecified_people_count,reverse_unspecified_people_count,forward_18_34_people_count,reverse_18_34_people_count,forward_35_54_people_count,reverse_35_54_people_count,forward_55_64_people_count,reverse_55_64_people_count,forward_65_plus_people_count,reverse_65_plus_people_count,forward_average_speed_meters_per_second,reverse_average_speed_meters_per_second,osm_reference_id,ride_count,ebike_ride_count
411334646,"Ride,EBikeRide",2022-06-17T13,10,5,5,5,5,0,0,5,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,6.29,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-11-01T09,10,5,5,5,5,0,0,0,5,5,5,0,0,0,0,0,5,5,0,0,0,0,0,7.84,4.74,491212832,10,0
411334646,"Ride,EBikeRide",2022-07-01T17,30,20,10,20,10,5,0,15,5,15,5,5,5,0,0,10,5,10,5,0,0,0,0,6.71,6.17,491212832,30,0
411334646,"Ride,EBikeRide",2022-04-12T10,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,6.8,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-10-11T14,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-04-16T15,10,5,5,5,5,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5.81,7.1,491212832,10,0
411334646,"Ride,EBikeRide",2022-07-17T08,30,10,20,10,15,0,0,10,20,10,10,0,0,0,0,5,5,5,5,0,0,0,0,6.55,7.27,491212832,30,0
411334646,"Ride,EBikeRide",2022-05-07T12,45,25,20,25,20,5,0,20,20,15,10,5,10,0,0,10,10,5,5,0,5,0,0,6.05,6.51,491212832,40,0
411334646,"Ride,EBikeRide",2022-01-27T08,5,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-10-28T19,5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5.93,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-07-14T11,10,5,5,5,5,0,0,5,5,5,0,5,0,0,0,0,0,0,5,5,0,0,0,6.37,6.09,491212832,10,0
411334646,"Ride,EBikeRide",2022-10-05T07,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-07-29T09,25,10,15,10,15,0,5,10,10,5,10,5,5,0,0,5,5,5,5,0,0,0,0,6.46,6.47,491212832,25,0
411334646,"Ride,EBikeRide",2022-09-29T15,10,5,5,5,5,5,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,6.51,7.1,491212832,10,0
411334646,"Ride,EBikeRide",2022-02-26T14,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-08-19T15,15,10,5,5,5,5,0,5,5,5,5,5,0,0,0,5,0,5,5,0,0,0,0,6.18,5.93,491212832,15,0
411334646,"Ride,EBikeRide",2022-10-21T14,20,10,5,10,5,0,0,10,5,10,5,0,0,0,0,5,5,5,0,0,0,0,0,6.0,5.52,491212832,15,0
411334646,"Ride,EBikeRide",2022-04-10T12,40,20,20,20,20,0,0,20,20,15,20,5,5,0,0,10,10,10,10,0,0,0,0,6.66,6.1,491212832,40,0
411334646,"Ride,EBikeRide",2022-07-12T11,10,5,5,5,5,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5.14,6.14,491212832,10,0
411334646,"Ride,EBikeRide",2022-08-23T17,40,25,15,25,15,15,5,15,10,20,10,5,5,0,0,10,10,10,5,5,0,0,0,7.14,6.94,491212832,40,0
411334646,"Ride,EBikeRide",2022-02-28T18,5,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-06-02T14,10,5,5,5,5,0,0,5,5,5,5,5,0,0,0,5,5,0,0,0,0,0,0,6.41,7.45,491212832,10,0
411334646,"Ride,EBikeRide",2022-10-08T13,20,10,10,10,10,0,0,10,10,5,10,5,0,0,0,5,5,0,0,0,0,0,0,6.61,6.23,491212832,20,0
411334646,"Ride,EBikeRide",2022-04-01T07,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-10-27T18,10,5,5,5,5,5,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,6.5,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-04-07T17,5,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6.63,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-05-29T17,30,15,15,15,15,0,5,15,10,10,10,5,5,0,0,10,10,5,5,0,0,0,0,2.02,5.89,491212832,30,0
411334646,"Ride,EBikeRide",2022-09-15T19,15,10,5,10,5,0,0,5,5,5,5,0,5,0,0,5,5,0,5,0,0,0,0,6.62,5.49,491212832,15,0
411334646,"Ride,EBikeRide",2022-02-16T17,5,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-05-30T08,20,5,15,5,15,0,0,5,15,5,15,0,0,0,0,5,5,0,5,0,5,0,0,7.58,5.16,491212832,20,0
411334646,"Ride,EBikeRide",2022-05-13T16,15,10,5,10,5,5,0,5,5,10,5,0,0,0,0,5,5,5,0,0,0,0,0,6.92,7.21,491212832,15,0
411334646,"Ride,EBikeRide",2022-07-29T12,10,5,10,5,10,0,0,5,10,0,5,0,5,0,0,5,0,0,5,0,0,0,0,0.0,6.36,491212832,15,0
411334646,"Ride,EBikeRide",2022-03-01T12,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-07-04T20,5,5,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,8.33,0.0,491212832,10,0
411334646,"Ride,EBikeRide",2022-06-11T12,25,20,5,20,5,0,0,20,5,15,5,5,0,0,0,10,0,5,0,0,0,0,0,7.44,6.0,491212832,25,0
411334646,"Ride,EBikeRide",2022-06-22T05,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-11-02T20,5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-08-02T16,20,15,10,15,10,5,0,5,5,10,5,0,5,0,0,5,0,10,5,0,0,0,0,8.27,5.75,491212832,20,0
411334646,"Ride,EBikeRide",2022-06-20T15,15,5,5,5,5,0,0,5,5,5,5,0,0,0,0,5,5,0,5,0,0,0,0,6.73,6.03,491212832,10,0
411334646,"Ride,EBikeRide",2022-02-20T13,15,10,5,10,5,0,0,10,5,5,5,5,0,0,0,5,0,5,0,0,0,0,0,7.0,3.6,491212832,15,0
411334646,"Ride,EBikeRide",2022-06-15T09,10,5,5,5,5,5,0,5,5,5,5,0,0,0,0,0,0,5,5,0,0,0,0,6.67,6.07,491212832,10,0
411334646,"Ride,EBikeRide",2022-02-26T17,5,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0.0,4.35,491212832,5,0
411334646,"Ride,EBikeRide",2022-11-06T13,20,5,10,5,5,0,0,5,10,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0.0,5.82,491212832,15,0
411334646,"Ride,EBikeRide",2022-03-20T14,60,30,25,30,25,0,5,30,25,20,15,10,10,0,0,10,15,10,5,5,5,0,0,5.35,6.06,491212832,55,0
411334646,"Ride,EBikeRide",2022-08-04T06,10,5,5,5,5,0,5,5,0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,6.85,7.11,491212832,10,0
411334646,"Ride,EBikeRide",2022-03-23T17,5,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-11-10T07,10,5,5,5,5,0,0,5,5,5,5,0,0,0,0,5,0,0,5,0,0,0,0,8.25,5.65,491212832,10,0
411334646,"Ride,EBikeRide",2022-05-18T18,25,15,10,15,10,0,0,15,10,10,5,5,0,0,0,5,5,10,5,0,0,0,0,6.64,6.79,491212832,25,0
411334646,"Ride,EBikeRide",2022-12-22T09,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-09-04T12,45,20,25,20,25,0,0,15,25,15,15,5,10,0,0,10,10,5,10,0,5,0,0,6.03,6.21,491212832,40,0
411334646,"Ride,EBikeRide",2022-05-22T14,20,15,10,15,10,0,0,15,5,10,5,5,0,0,0,5,5,5,0,0,0,0,0,5.83,6.32,491212832,25,0
411334646,"Ride,EBikeRide",2022-04-23T12,55,40,15,40,15,5,0,40,15,30,10,5,5,0,0,15,5,20,5,5,0,0,0,6.49,5.11,491212832,55,0
411334646,"Ride,EBikeRide",2022-09-30T17,30,25,5,25,5,5,0,20,5,20,5,5,0,0,0,10,5,5,0,5,0,0,0,6.69,5.91,491212832,30,0
411334646,"Ride,EBikeRide",2022-05-13T18,15,10,5,10,5,5,0,5,5,5,5,5,0,0,0,5,5,5,0,0,0,0,0,7.58,7.47,491212832,15,0
411334646,"Ride,EBikeRide",2022-10-25T10,5,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.4,491212832,5,0
411334646,"Ride,EBikeRide",2022-09-14T20,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,491212832,5,0
411334646,"Ride,EBikeRide",2022-09-18T09,20,10,10,10,10,0,0,10,10,5,10,0,5,0,0,0,10,5,0,0,0,0,0,7.01,5.87,491212832,20,0
411334646,"Ride,EBikeRide",2022-07-04T19,10,10,5,10,5,0,0,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,6.65,0.0,491212832,15,0
411334646,"Ride,EBikeRide",2022-02-16T08,5,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,491212832,10,0
