title,organizer_1,organizer_2,organizer_3,organizer_4,organizer_5,organizer_6,organizer_7,posted,desc,id,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,theme_1,theme_2,theme_3
(Bio)Engineering Nature: Editing environments through biotechnology,"Elliott Reichardt, Stanford University",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Since the discovery in 2015 of the CRISPR/Cas9 gene editing system, research into its applications for has exploded. The use of CRISPR/Cas9 and related technologies has enabled scientists to edit the genomes of organisms with an unparalleled level of accuracy and specificity making feasible the genomic editing of environments and ecosystems. Scientists have pointed out that the new technologies like “gene drives”, which nearly guarantee the inheritance of targeted genes, could be used for admirable public health goals such as transforming or suppressing harmful populations of malaria transmitting mosquitoes or schistosomiasis-carrying snails. Environmentalists have similarly suggested that gene drives be used to suppress populations of harmful or invasive species, such as lionfish. Theoretically, these technologies appear remarkably promising. Yet important questions regarding their regulation, usage and development remain underexplored. This panel solicits submissions from groups or individuals of any background interested in developing a rich conversation regarding historical and ongoing attempts to molecularly edit environments with an emphasis on gene drive technologies. Ideally, presenters would explore gene drives in all their complexity, from their social and economic context to their political and environmental implications. This panel would especially welcome papers that document scientific and regulatory processes through which these technologies must go through with a careful attention to empirical detail. ",1,gene drives, biotechnology, nature, conservation, global health,NA,NA,NA,Environmental/Multispecies Studies,"Genetics, Genomics, Biotechnology",Governance and Public Policy
"(Dis)Trust in Public-Sector Data, Technology, and Science","danah boyd, Microsoft Research / Data & Society","Janet Vertesi, Princeton University","Alondra Nelson, Institute for Advanced Study, Princeton",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				STS scholarship on technopolitics typically examines the role that governments and state organizations play in producing, enabling, and leveraging data, technology, and science. Technocratic projects like conducting censuses, modeling weather, producing medicines, constructing computers or developing weapons serve both state and scientific masters. While the legitimacy of these investments are often intertwined with the legitimacy of state power, such power — and legitimacy — also relies upon scientific development and the sustained production of technoscientific imaginaries. 
Yet recent years have witnessed a range of governmental actions around the world designed to purposefully delegitimize states’ technoscientific investments. Politicians work to dismantle state-funded scientific efforts, often under the guise of free-market commitments and austerity principles. The Covid-19 pandemic has revealed the global cost of distrust in public-sector science, technology, and data. Even as scientists produced a vaccine with unprecedented speed, governments around the world failed to track the spread of the virus, let alone provide data to enable decision-making. In some countries, political leaders are propagated conspiracies and “fake science”, undermining public health and scientific development. 
Just as governments can help advance science, technology, and data, they may also choose to strategically curb such pursuits — or actively undermine their legitimacy.
This panel examines how public-sector technoscientific efforts are made legitimate, and how that legitimacy is strategically undermined. We ask, how are state-sponsored science and technology projects legitimated? How can this legitimacy come undone? How can trust in public-sector technoscience be repaired? ",2,government, organizations, legitimacy, bureaucracy, politics,NA,NA,NA,Governance and Public Policy,Infrastructure,NA
"(Im)material streams in the city: ecologies, economies, electrons","Morgan Mouton, Lab'URBA/Université Gustave Eiffel","Ryan Burns, Department of Geography",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The deepening datafication of urban life has had profound impacts on the organization, exploitation, and circulation of natural, social, economic, and political resources. These impacts are often material—for example in the extraction of minerals required to build digital devices or in the siting of data centers—and often discursive—as digitization becomes a rationale and logic guiding urbanization and new forms of data colonialism. What underlies them all is a unique set of circulations, movement, flows, and streams.
In particular, streams of data make the circulations visible and governable. The datafication of urban services (e.g., energy, transportation, water, and waste) allows for real-time, fine-grained identification, quantification, and spatialization of all sorts of flows running across urban space. This key idea behind “smart city” discourses promises more control over urban space, urban metabolism, and streams of privately-held revenue.
This panel explores how data capture, channel, and tame streams, circulation, and flows across urban space. We are especially (but not exclusively) interested in empirical and theoretical contributions from the Global South, and studies attuned to human and non-human relations.
Questions
How has datafication, and the processes necessitating, facilitating, and emanating from it, transformed the ecologies and resources subtending urban space and urbanization?
How are flows initiated, maintained, and terminated for particular political and economic interests?
How do digital and analog urban infrastructures slow, accelerate, or direct these flows?
What sorts of knowledges and epistemologies are possible within this milieu, and how can we politicize them?",3,Datafication, circulation, urban studies, capitalism, political ecology,NA,NA,NA,Data and quantification,Infrastructure,Other
(Re)configuring care practices in pandemic times,"Stefan Nicolae, University of Trier","Cristina Popescu, EHESS - Centre d'Etude des Mouvements Sociaux",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Care practices were addressed in STS by Annemarie Mol (2002, 2008, 2010) as capturing a specific way of engaging with material reality as well as framing situated human relations. Hence, care bears not only upon intimacy or affectivity, but relates to forms of interdependency between ontology and normativity (“ontonorms”; Mol 2012).
The open panel starts from and further develops the discussions on relevance of care practices focussing on the (re)configurations of care practices during the COVID-19 pandemic. Such a discussion of „care“ takes up not only a currently highly relevant social topic, but also acknowledges the salient empirical shaping of theoretical reflections on care in STS as ways of handling reality and transforming social relations. 
While COVID-19 differently addresses virologists, clinicians, physicists, epidemiologists, immunologists, or economics (Mol and Hardon 2020), a wide range of practices of care proliferated in response to the health crisis beyond these formal and mainstream settings, draw mainly on spatial (and social) proximity (neighbourhoods, peer-groups), and emphasised a temporal continuity of the caring engagement (regular visits, extended homeschooling). In a word: specific (re)configurations of care are rendered visible in dealing with personal concern, vulnerability, and (inter)dependence (Kittay 2015). 
The panel welcomes contributions on topics as:
– expertise negotiated along care practices;
– care related to groups traditionally framed as disadvantaged: elderly, people with disabilities, indigenous people, and other culturally diverse groups;
– goods shaping actors understanding of care;
– alliances of human and non-human entities as modes of pragmatic coping with pandemic crisis;
– methodological adjustments regarding (re)configurations of care. ",4,practices of care, ontology, normativity, vulnerability, interdependence, elderly, disability, cultural diversity,Method and Practice,Social Justice/Social Movement,Other
"(Re)materialising Cancer: Bodies, Cells and Environments","Emily Ross, The University of Sheffield","Julia Swallow, University of Edinburgh",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Bioscientific approaches to identifying, classifying and diagnosing cancer have long enrolled practices that engage with the materiality of tumour tissues and cells, such as cytology and histology. In the contemporary era, scientific techniques detect and act upon cancer outwith tumour tissue itself. For example, pre-cells, inflammatory cells, immune system T cells and microbes are becoming understood to play a role in cancer. Molecular pathology has also allowed for exploration of the makeup of cancerous tissues as inscribed within genetic code, and can ‘diagnose’ predispositions to cancer. Such techniques, along with designations of cells as ‘pre-cancerous’, add a temporal dimension to the materiality of cancer. These approaches locate cancer within structures and organisms beyond the tangibility of tumour tissue, and demonstrate that various elements of bodies and their environments continuously interact to constitute the disease.
Contemporary scientific work thus generates a picture of cancer as more than malignant, fleshy tumours, with the disease materialising in genes, healthy cells, and wider (bodily) environments. This refigures the material constitution of cancer, blurs clinical categorisations of tissues and cells as malignant or benign, and prompts us to think about cancer in ways that unsettle widespread ‘fixed’ sociocultural understandings of the disease. In this session we will discuss configurations of cancer that disrupt understandings of the disease as manifested in a malignant, fleshy, tumour. We ask ‘what constitutes cancer?’ and address the implications of these diverse configurations for scientific and clinical practice, embodied experiences, patient subjectivities, and sociocultural depictions of cancer. ",5,Cancer, Bioscience, Materiality, Cells, Immunity,NA,NA,NA,"Genetics, Genomics, Biotechnology",Medicine and Healthcare,NA
"A Good Life, In Theory: Thinking and Living with Climate Change","Claire Oliver, Department of History and Philosophy of Science, University of Cambridge
Anin Luo, Department of History and Philosophy of Science, University of Cambridge
Amelia Urry, Department of History and Philosophy of Science, University of Cambridge",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				In recent years, an increasing amount of STS and STS-aligned scholarship has used provocative and conceptually creative ways to address the exceptional challenges posed by global climate change. A number of theoretical orientations have emerged within the field of Anthropocene studies, such as new materialism and Gaia-based approaches, offering sophisticated ways for scholars to think through the implications of climate change for both human and more-than-human life. However, these shifts have also inspired backlash from those who argue that the constant search for new theory obfuscates empirical realities and the politics of responsibility (Malm 2018). Particularly in light of the climate crisis, the at-times tenuous and overlapping relationships between theoretical creativity, empirical rigor, and everyday action demand renewed critical attention.
This panel seeks to critically engage these fragile relationships within Anthropocene STS scholarship to illuminate potentials for individual, academic, and political meaning in a warming world. How can scholars hold onto both climate realism and creative conceptualizations of more-than-humans? Does the urgency of global warming demand a more overt level of political engagement in academia? Can we effectively reconcile the conceptual utility of our theoretical methodologies with the pragmatic and embodied risks of ecological justice? We welcome papers which might address these multiscalar gaps, reframing potential discrepancies as constructive spaces of possibility for good relations between fellow earthlings.",6,climate, ecological justice, Anthropocene,NA,NA,NA,NA,NA,Environmental/Multispecies Studies,NA,NA
"Academic Automation, Machine Un/Learning and Artificial Non/Intelligence","Jeremy Hunsinger, Wilfrid Laurier University",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Over the last 70 years, computational and networked media have become deeply integrated with higher education and have slowly adopted and integrated various technologies. The newest generation of technologies engaging higher education centers around what is popularly called artificial intelligence, otherwise known as machine learning.  Machine learning creates models that, in part self-design solutions that may include interaction, prediction, and other simulatable aspects.  This panel invites papers that engage with questions of academic automation, machine un/learning, and artificial non/intelligence in the academic context.  It seeks critical papers that examine questions around  automatic grading, artificial teaching assistants, robotic instructors, other academic technologies, and the transformation of the student and professor roles concerning these technologies.  
This panel also seeks papers that engage these technologies in other academic roles, such as research or service as work.  How are these technologies mediating different academic functions? Who benefits from these technologies? And who is privileged by them?
We have to consider the roles of craft, artistry, and humanity in those roles.  Is there an argument to be made for automation in the academy? Is there an argument to be made for AI/Machine learning in the academy?  What kind of relations do these establish?  Following Ivan Illich, should we be rethinking our relations to develop tools and systems that treat us as human, perhaps even more human than our current system? Following Virilio, what will be their accident?  What are the good relations between our academic institutions, their people, and these new technologies? ",7,academic automation, AI in the academy, new academic technologies,,NA,NA,NA,NA,"Big Data, AI and Machine Learning","Information, Computing and Media Technology",Infrastructure
Aerotechnologies: Air as Elemental Technology,"Boyd Ruamcharoen, Massachusetts Institute of Technology (MIT)","Jia Hui Lee, Massachusetts Institute of Technology (MIT)",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				“Objects, processes, or events that in some ways disclose, generate, or intensify the condition of being enveloped by the elemental force of atmospheres,” Derek McCormack (2018) proposes, are “atmospheric things.” The balloon, for instance, might be construed as a device that not only explicates but also draws force from its immersion in air. We invite papers that contend with aerotechnologies, understood as infrastructures, devices, knowledge systems, and particles that make air as much a technological fact as it is a natural one. What does it mean to study air as elemental technology? How is air — as an element — constitutive, pervasive, and facilitative of emergent kinds of social experiences and relations? How are wind (Howe 2019, Boyer 2019), climate engineering (Furuhata 2019), teargas (Nieuwenhuis 2016), industrial gases (Banken and Stokes 2015), terrariums (Darby 2007), breathing (Braun 2014; Mbembe 2020), as well as other airy matters technologically mediated, rendered, and configured? How does air come to be known or contested through processes of racial, (settler) colonial, and capitalist formations (Flikke 2018, Simmons 2017)? If techne denotes the practices of making, we propose that aerotechnologies relate and relay connections between people, non-human actors, epochs, and places, evoking the conference theme that asks what are good (airy) relations? In addition to treating air as technological, we are also interested in papers that explore air as an elemental medium that link different scales of political and social action (Peters 2015, Horn 2018, Choy 2011), especially from perspectives tethered in the global South. ",8,air, elemental, medium, technology,NA,NA,NA,NA,Environmental/Multispecies Studies,"Information, Computing and Media Technology",Infrastructure
Aging with other-than-humans: STS and age studies beyond technological solutions,"Daniel Lopez Gomez, Universitat Oberta de Catalunya","Nete Schwennesen, Copenhagen University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				In recent years, Science and Technology studies have paid increasing attention to ageing and elderly care. At the cross-road with critical age studies, new areas and theoretical developments such as socio-gerontechnology or material gerontology are making important contributions. Informed by material-semiotics, post-humanism, and affect theory these developments are shedding light on the critical role of materiality and other-than-human beings in the constitution of old age as a social construct and bio-political device. They show how notions of ageing well (such as active ageing or successful ageing) are materialised in technological and biomedical innovations and how these configure modes of doing age in older’s people daily-life. Drawing on the more-than-human turn in STS and age studies, this panel is an invitation to extend the reach of these developments beyond their traditional focus on innovative digital and biomedical “solutions” for the ageing society. We invite papers that consider more-than-human entanglements with animal, plants, buildings, landscapes, etc. in critical studies of age and elderly care. We also look for contributions that delve into the politics of relations in these more-than-human entanglements in later life. The panel is an invitation to consider questions such as: How elderly care is reconfigured when care is not considered from anthropocentric visions? What does ageing and old age become when ageing is seen as a stage of becoming-with other-than-humans? How do other-than-human ageing and elderly care matter in these entanglements? What notions of ageing well and good elderly care emerge as a result of this? ",9,ageing, care, ecologies, more-than human, materiality, technology, affect, interspecies entanglements,Environmental/Multispecies Studies,Feminist STS / Queer STS,Medicine and Healthcare
AI and Feminist STS,"Rachel Bergmann, Microsoft Research New England",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Much excellent work has documented how contemporary artificial intelligence (AI) systems reinforce and deepen historical inequalities and oppressions. Further work remains, however, on whether and how AI systems can do otherwise. Recent social movements within AI research have begun to politicize AI technologies and their entanglements with social justice, power relations, and environmentalism (see, for example, #TechWontBuiltIt and recent ACM special issues on “AI Activism” and “Green AI”). In a current technology ecosystem dominated by commercial and military interests, however, few possibilities seem to exist for AI practitioners to “strive towards good relations” among humans, technologies, and environments. 
This panel seeks to investigate how theories, methods, and ways of knowing from decades of feminist STS scholarship can inform the study of AI systems as they are used today. In Alison Adam’s (1995) feminist critique of AI epistemology, she emphasizes the need for more concrete examples of a “successor science” based on feminist epistemology and social constructivism to ground AI research. What would “successor AI” look like, built on feminist principles of situated knowledges and standpoint theory? Beyond universalized, depoliticized notions of “ethical AI,” might an analysis using feminist STS ground AI systems in complex sociotechnical entanglements and particular histories, geographies, communities, and contexts?
This panel invites work that engages with these questions and imagines new possibilities for feminist AI technologies. Topics can include, but are not limited to, the following:
* Social and political movements that aim to centre ethics of care, entanglement, relationality, and responsibility in human-AI systems
* Indigenous, Black, feminist, and queer conceptualizations of “artificial intelligence”
* Disability studies, feminist STS, and artificial intelligence
* Ecofeminism, environmental justice, “green AI” and environmental impacts of AI systems
* Standpoint theory and the politics of image, speech, and emotion recognition systems
* Intersections and contradictions between feminist health projects and AI in healthcare
* New methods and imagined futures for feminist, de-/anti-colonial, anti-military, anti-carceral, anti-capitalist AI ",10,feminist STS, artificial intelligence, technofeminism, feminist technologies, ethical AI,NA,NA,NA,"Big Data, AI and Machine Learning",Feminist STS / Queer STS,"Information, Computing and Media Technology"
